SKU_Coded,Stock,Lead_Time,Avg_Sales,CD
6181750,60,90,1.36,1
6181800,60,45,1.34,1
6181850,120,45,1.34,1
6181900,120,90,1.9,1
6181950,120,45,2.02,1
6182000,60,90,2.16,1
6182050,120,90,1.44,1
6182100,60,90,1.38,1
6182150,120,60,1.5,1
6182200,60,90,1.0,1
6182250,120,90,1.65,1
6182300,60,60,1.05,1
6182350,120,30,1.37,1
6182400,60,30,1.18,1
6182450,60,30,1.44,1
6182500,60,30,1.11,1
6182600,60,60,1.06,1
6182650,60,45,1.07,1
6182700,120,45,1.05,1
6182750,60,60,1.18,1
6182800,120,90,1.2,1
6182850,60,60,1.12,1
6182900,120,90,1.1,1
6182950,60,90,1.27,1
6183000,120,30,1.12,1
6183050,60,90,1.1,1
6183100,60,60,1.09,1
6183150,60,30,1.11,1
6183200,120,30,1.17,1
6183250,60,30,1.16,1
6183300,60,90,1.09,1
6183350,120,90,1.12,1
6183400,60,90,1.04,1
6183450,60,45,1.0,1
6183500,60,30,1.16,1
6183550,120,60,1.84,1
6183600,60,90,1.11,1
6183650,60,60,1.14,1
6183700,60,90,1.0,1
6183750,60,60,1.17,1
6183800,60,45,1.49,1
6183850,60,90,1.11,1
6183900,60,30,1.24,1
6183950,120,60,1.18,1
6184000,60,30,1.37,1
6184050,60,45,1.29,1
6184100,60,30,1.41,1
6184150,60,60,1.0,1
6184200,60,45,1.0,1
6184250,60,30,1.0,1
6184300,120,30,1.6,1
6184350,540,60,3.4,1
6184400,420,90,3.43,1
6184450,360,45,2.57,1
6184500,540,30,2.67,1
6184550,180,90,2.81,1
6184600,180,60,3.82,1
6184650,780,30,5.09,1
6184700,60,45,1.38,1
6184750,60,60,1.18,1
6184800,60,45,1.18,1
6184850,60,45,1.33,1
6184900,120,60,1.18,1
6184950,60,90,1.29,1
6185000,120,30,1.29,1
6185050,120,45,1.21,1
6185100,60,45,1.1,1
6185150,60,45,1.07,1
6185200,60,60,1.11,1
6185250,60,90,1.28,1
6185300,60,45,1.49,1
6185350,60,90,1.0,1
6185400,60,45,1.26,1
6185450,60,30,1.0,1
6185500,60,30,1.54,1
6185550,60,60,1.39,1
6185600,60,45,1.0,1
6185650,60,90,1.0,1
6185700,120,60,2.0,1
6185750,60,45,1.54,1
6185800,60,30,1.0,1
6185850,60,30,1.0,1
6185900,120,30,1.44,1
6186000,60,90,1.16,1
6186050,60,90,1.0,1
6186100,60,45,1.26,1
6186150,60,30,1.1,1
6186200,60,45,1.0,1
6186250,60,45,1.1,1
6186300,60,90,1.11,1
6186350,60,90,1.1,1
6186400,60,30,1.08,1
6186450,60,60,1.1,1
6186500,60,60,1.34,1
6186550,60,30,1.19,1
6186600,60,90,1.2,1
6186650,60,90,1.0,1
6186700,60,45,1.0,1
6186750,60,30,1.0,1
6186800,60,45,1.27,1
6186850,60,45,1.1,1
6186900,120,45,1.09,1
6186950,60,45,1.0,1
6187000,120,90,1.07,1
6187050,60,45,1.29,1
6187100,120,60,1.23,1
6187150,120,90,1.32,1
6187200,120,45,1.34,1
6187250,60,30,1.02,1
6187300,60,45,1.08,1
6187350,120,90,1.1,1
6187400,120,90,1.12,1
6187450,240,30,36.59,1
6187500,120,45,1.42,1
6187550,60,45,1.15,1
6187600,60,90,1.2,1
6187650,60,60,1.05,1
6187700,60,60,1.04,1
6187750,60,60,1.58,1
6187800,60,60,1.0,1
6187850,60,90,1.0,1
6187900,60,45,1.0,1
6187950,60,60,1.0,1
6188000,60,45,1.0,1
6188050,180,90,1.16,1
6188100,60,90,1.2,1
6188150,60,45,1.58,1
6188200,60,90,1.76,1
6188250,60,90,1.71,1
6188300,300,90,2.28,1
6188350,60,60,1.26,1
6188400,60,90,1.32,1
6188450,60,45,1.13,1
6188500,180,30,1.42,1
6188550,60,45,1.3,1
6188600,60,90,1.28,1
6188650,60,60,1.13,1
6188700,240,45,1.1,1
6188750,60,30,1.07,1
6188800,60,30,1.06,1
6188850,60,60,1.0,1
6188900,60,60,1.0,1
6188950,60,30,1.16,1
6189000,60,45,1.46,1
6189050,120,60,1.33,1
6189100,60,30,1.0,1
6189150,60,45,1.18,1
6189200,60,45,1.0,1
6189250,60,30,1.0,1
6189300,60,90,1.0,1
6189350,60,45,1.0,1
6189400,60,90,1.0,1
6189450,120,60,1.33,1
6189500,60,60,1.0,1
6189550,60,45,1.0,1
6189600,120,60,1.2,1
6189650,60,90,1.0,1
6189700,60,30,1.0,1
6189750,120,90,1.32,1
6189800,60,90,1.0,1
6189850,540,60,2.17,1
6189900,120,60,1.15,1
6189950,60,90,1.0,1
6190000,60,90,1.2,1
6190050,60,60,7.66,1
6190100,60,45,10.64,1
6190150,120,60,3.09,1
6190200,120,90,3.0,1
6190250,180,60,4.21,1
6190300,60,30,1.28,1
6190350,60,60,1.09,1
6190400,60,60,1.3,1
6190450,60,45,1.12,1
6190500,60,90,1.07,1
6190550,60,45,1.25,1
6190600,60,30,1.11,1
6190650,60,60,1.0,1
6190700,120,45,1.26,1
6190750,60,90,1.27,1
6190800,120,45,1.32,1
6190850,120,60,1.25,1
6190900,120,60,1.29,1
6190950,60,60,1.3,1
6191000,120,90,1.15,1
6191050,120,60,1.13,1
6191100,60,30,1.95,1
6191150,60,90,1.58,1
6191200,60,90,1.0,1
6191250,60,90,1.14,1
6191300,60,45,1.17,1
6191350,60,90,1.25,1
6191400,60,45,1.44,1
6191450,60,90,1.14,1
6191500,60,45,1.11,1
6191550,60,30,1.13,1
6191600,60,30,1.23,1
6191650,60,90,1.0,1
6191700,60,30,1.23,1
6191750,60,30,1.08,1
6191800,120,45,1.49,1
6191850,60,30,1.2,1
6191900,120,30,1.1,1
6191950,60,30,1.08,1
6192000,120,90,1.12,1
6192050,60,45,1.23,1
6192100,60,30,1.1,1
6192150,60,60,1.11,1
6192200,60,45,1.28,1
6192250,60,60,1.25,1
6192300,60,30,1.4,1
6192350,60,90,1.0,1
6192400,60,30,1.0,1
6192450,60,60,1.0,1
6192500,60,45,1.07,1
6192550,60,60,1.34,1
6192600,120,90,1.37,1
6192650,60,30,1.37,1
6192700,120,90,2.65,1
6192750,120,90,1.08,1
6192800,60,60,1.35,1
6192850,120,60,1.28,1
6192900,60,90,1.36,1
6192950,120,45,1.57,1
6193000,60,60,1.98,1
6193050,60,90,1.32,1
6193100,60,60,1.31,1
6193150,60,90,1.22,1
6193200,60,90,1.29,1
6193250,60,90,1.11,1
6193300,60,45,1.36,1
6193350,60,60,1.1,1
6193400,60,60,1.05,1
6193450,60,90,1.0,1
6193500,60,60,1.09,1
6193550,120,90,1.16,1
6193600,60,45,1.06,1
6193650,60,30,1.47,1
6193700,60,30,1.39,1
6193750,120,30,1.42,1
6193800,60,90,1.64,1
6193850,60,90,1.16,1
6193900,60,45,1.0,1
6193950,60,60,1.0,1
6194000,60,30,1.41,1
6194050,60,90,1.61,1
6194100,60,90,1.16,1
6194150,240,90,1.21,1
6194200,60,30,1.18,1
6194250,60,45,1.54,1
6194300,120,30,1.2,1
6194350,60,45,1.14,1
6194400,60,60,1.15,1
6194450,60,90,2.3,1
6194500,60,30,2.44,1
6194550,180,60,2.05,1
6194600,60,60,2.03,1
6194650,60,90,2.01,1
6194700,60,60,2.06,1
6194750,180,45,3.27,1
6194800,60,45,2.42,1
6194850,60,90,2.15,1
6194900,120,30,2.06,1
6194950,60,30,2.45,1
6195000,60,30,1.05,1
6195050,60,30,1.0,1
6195100,60,90,1.0,1
6195150,60,45,1.11,1
6195200,60,30,1.31,1
6195250,60,60,1.13,1
6195300,60,60,1.11,1
6195350,120,60,1.24,1
6195400,120,45,1.2,1
6195450,60,30,1.24,1
6195500,120,30,1.17,1
6195550,120,30,1.19,1
6195600,60,30,1.09,1
6195650,60,45,1.1,1
6195700,60,45,1.56,1
6195750,60,45,1.02,1
6195800,60,30,4.21,1
6195850,60,60,1.1,1
6195900,60,60,1.3,1
6195950,60,30,1.37,1
6196000,60,30,1.07,1
6196050,60,30,1.11,1
6196100,60,90,1.1,1
6196150,120,60,1.18,1
6196200,60,60,1.13,1
6196250,60,60,1.0,1
6196300,60,45,1.06,1
6196350,60,45,1.05,1
6196400,60,45,1.07,1
6196450,60,90,1.12,1
6196500,60,45,1.12,1
6196550,60,30,1.09,1
6196600,60,30,1.45,1
6196650,120,90,1.54,1
6196700,60,45,1.21,1
6196750,60,60,1.28,1
6196800,60,90,1.07,1
6196850,60,30,1.08,1
6196900,60,60,1.11,1
6196950,60,30,1.16,1
6197000,60,90,1.02,1
6197050,60,90,1.37,1
6197100,120,30,2.0,1
6197150,60,45,1.12,1
6197200,60,90,1.47,1
6197250,60,30,1.36,1
6197300,60,30,1.08,1
6197350,60,45,3.44,1
6197400,60,60,2.29,1
6197450,180,90,2.06,1
6197500,60,90,1.08,1
6197550,60,90,1.07,1
6197600,60,90,1.06,1
6197650,60,30,1.26,1
6197700,60,90,1.23,1
6197750,60,45,1.15,1
6197800,180,45,1.15,1
6197850,120,90,1.19,1
6197900,60,45,1.16,1
6197950,120,30,1.13,1
6198000,120,45,1.09,1
6198050,120,60,1.11,1
6198100,60,30,2.16,1
6198150,60,45,1.19,1
6198200,60,45,1.16,1
6198250,120,30,1.47,1
6198300,60,60,1.14,1
6198350,60,45,1.09,1
6198400,120,60,1.29,1
6198450,60,30,1.19,1
6198500,60,60,1.06,1
6198550,60,90,1.14,1
6198600,60,90,1.04,1
6198650,60,60,1.05,1
6198700,60,30,1.07,1
6198750,60,60,1.1,1
6198800,60,45,1.26,1
6198850,120,90,1.24,1
6198900,60,45,1.17,1
6198950,60,45,1.16,1
6199000,120,90,1.41,1
6199050,120,30,1.14,1
6199100,120,90,1.09,1
6199150,60,60,1.22,1
6199200,60,45,1.24,1
6199250,60,60,1.35,1
6199300,60,30,1.17,1
6199350,60,30,1.41,1
6199400,60,45,1.35,1
6199450,60,45,1.12,1
6199500,120,45,2.38,1
6199550,120,30,2.43,1
6199600,120,90,2.59,1
6199650,120,60,2.85,1
6199700,60,60,1.47,1
6199750,60,90,1.17,1
6199800,120,90,1.2,1
6199850,60,90,1.17,1
6199900,60,45,3.22,1
6199950,60,60,1.0,1
6200000,60,45,1.12,1
6200050,60,30,1.19,1
6200100,120,90,1.39,1
6200150,60,60,1.22,1
6200200,120,90,1.36,1
6200250,60,45,1.28,1
6200300,60,30,1.15,1
6200350,60,60,1.12,1
6200400,60,45,1.21,1
6200450,120,90,1.3,1
6200500,60,45,1.22,1
6200550,60,30,1.07,1
6200600,60,90,1.0,1
6200650,120,45,2.21,1
6200700,120,30,4.11,1
6200750,60,90,1.17,1
6200800,120,45,2.76,1
6200850,60,45,1.06,1
6200900,120,30,1.15,1
6200950,120,90,1.61,1
6201000,60,90,1.0,1
6201050,60,60,1.0,1
6201100,120,60,1.42,1
6201150,60,45,1.28,1
6201200,60,90,1.14,1
6201250,60,30,1.1,1
6201300,60,30,1.07,1
6201350,180,45,1.15,1
6201400,60,30,1.43,1
6201450,120,45,1.48,1
6201500,60,45,1.12,1
6201550,60,45,1.12,1
6201600,60,45,1.11,1
6201650,60,45,1.18,1
6201700,60,45,1.47,1
6201750,120,60,3.38,1
6201800,120,45,3.27,1
6201850,120,60,2.12,1
6201900,60,60,1.14,1
6201950,60,30,3.4,1
6202000,60,45,1.0,1
6202050,120,90,1.25,1
6202100,60,60,1.31,1
6202150,120,45,1.29,1
6202200,60,60,1.37,1
6202250,60,60,1.0,1
6202300,60,60,1.0,1
6202350,60,90,1.07,1
6202400,60,60,1.16,1
6202450,120,45,1.15,1
6202500,60,90,1.15,1
6202550,60,60,1.15,1
6202600,120,45,2.0,1
6202650,120,90,1.53,1
6202700,60,90,1.43,1
6202750,120,60,1.17,1
6202800,60,45,1.14,1
6202850,60,30,1.07,1
6202900,60,90,1.05,1
6202950,60,30,1.31,1
6203000,60,45,1.29,1
6203050,60,90,1.06,1
6203100,60,90,1.1,1
6203150,60,45,1.22,1
6203200,60,30,1.1,1
6203250,60,45,1.17,1
6203300,60,45,1.1,1
6203350,60,60,1.08,1
6203400,60,45,1.1,1
6203450,60,60,1.08,1
6203500,60,60,1.2,1
6203550,60,30,1.21,1
6203600,120,45,1.17,1
6203650,60,30,1.28,1
6203700,60,45,1.11,1
6203750,60,60,1.27,1
6203800,60,30,1.34,1
6203850,120,90,1.3,1
6203900,120,60,1.18,1
6203950,60,90,1.41,1
6204000,60,60,1.21,1
6204050,420,90,20.26,1
6204100,180,30,10.61,1
6204150,60,60,1.15,1
6204200,60,60,1.28,1
6204250,120,30,1.41,1
6204300,120,90,1.86,1
6204350,120,45,1.51,1
6204400,60,90,1.0,1
6204450,60,60,1.39,1
6204500,60,30,1.09,1
6204550,60,45,1.12,1
6204600,60,45,1.16,1
6204650,60,90,1.23,1
6204700,60,30,1.13,1
6204750,60,90,1.17,1
6204800,60,30,1.1,1
6204850,120,60,1.13,1
6204900,60,30,1.18,1
6204950,60,60,1.21,1
6205000,60,90,1.25,1
6205050,60,90,1.21,1
6205100,60,30,1.39,1
6205150,120,60,1.1,1
6205200,60,30,1.21,1
6205250,360,90,4.8,1
6205300,120,60,1.28,1
6205350,60,30,1.03,1
6205400,60,30,1.0,1
6205450,60,45,1.44,1
6205550,120,90,1.25,1
6205600,120,45,2.0,1
6205650,60,60,1.0,1
6205700,60,30,1.4,1
6205750,120,90,1.5,1
6205800,60,60,1.25,1
6205850,60,60,1.0,1
6205900,120,60,1.67,1
