SKU_Coded,Stock,Lead_Time,Avg_Sales
6177250,4,30,1.48
6177300,2,45,1.39
6177350,2,45,1.58
6177400,2,30,1.26
6177450,2,30,1.46
6177500,2,30,1.46
6177550,2,90,1.17
6177600,4,90,1.21
6177650,4,30,1.33
6177700,2,90,1.41
6177750,2,30,1.74
6177800,4,60,1.45
6177850,2,45,1.32
6177900,4,90,1.3
6177950,4,45,1.37
6178000,4,30,1.51
6178050,2,60,1.06
6178100,4,45,1.48
6178150,4,30,1.39
6178200,2,90,1.15
6178250,4,45,1.17
6178300,4,45,1.6
6178350,2,30,1.25
6178400,4,60,1.28
6178450,2,30,1.21
6178500,4,60,1.52
6178550,4,90,1.27
6178600,4,30,1.25
6178650,4,30,1.27
6178700,2,30,1.2
6178750,2,30,1.25
6178800,4,30,1.21
6178850,4,30,1.4
6178900,4,45,1.39
6178950,2,60,1.39
6179000,4,60,1.4
6179050,2,45,1.29
6179100,6,60,1.3
6179150,4,45,1.44
6179200,2,60,1.58
6179250,4,30,1.41
6179300,4,45,1.45
6179350,2,45,1.27
6179400,2,30,1.23
6179450,2,60,1.35
6179500,4,90,1.33
6179550,2,60,1.0
6179600,4,60,1.12
6179650,2,90,1.08
6179700,4,45,1.22
6179750,2,45,1.38
6179800,2,30,1.19
6179850,2,60,1.0
6179900,4,60,1.13
6179950,4,45,1.26
6180000,2,45,1.0
6180050,2,60,1.0
6180100,2,60,1.03
6180150,2,90,1.3
6180200,2,30,1.15
6180250,2,90,1.17
6180300,2,60,1.12
6180350,2,90,1.06
6180400,2,30,1.1
6180450,4,45,2.0
6180500,2,45,1.0
6180550,2,90,1.13
6180600,2,60,1.12
6180650,4,90,1.36
6180700,2,90,1.25
6180750,2,45,1.09
6180800,2,60,1.23
6180850,4,30,1.17
6180900,4,60,1.23
6180950,2,30,1.19
6181050,2,30,1.0
6181100,2,30,1.0
6181150,4,90,1.79
6181200,8,60,1.77
6181250,4,90,1.7
6181300,4,45,1.88
6181350,2,45,1.18
6181400,2,30,1.26
6181450,4,90,1.4
6181500,2,60,1.72
6181550,4,90,1.33
6181600,4,60,1.2
6181650,2,60,1.26
6181700,4,90,1.31
6181750,2,90,1.36
6181800,2,45,1.34
6181850,4,45,1.34
6181900,4,90,1.9
6181950,4,45,2.02
6182000,2,90,2.16
6182050,4,90,1.44
6182100,2,90,1.38
6182150,4,60,1.5
6182200,2,90,1.0
6182250,4,90,1.65
6182300,2,60,1.05
6182350,4,30,1.37
6182400,2,30,1.18
6182450,2,30,1.44
6182500,2,30,1.11
6182600,2,60,1.06
6182650,2,45,1.07
6182700,4,45,1.05
6182750,2,60,1.18
6182800,4,90,1.2
6182850,2,60,1.12
6182900,4,90,1.1
6182950,2,90,1.27
6183000,4,30,1.12
6183050,2,90,1.1
6183100,2,60,1.09
6183150,2,30,1.11
6183200,4,30,1.17
6183250,2,30,1.16
6183300,2,90,1.09
6183350,4,90,1.12
6183400,2,90,1.04
6183450,2,45,1.0
6183500,2,30,1.16
6183550,4,60,1.84
6183600,2,90,1.11
6183650,2,60,1.14
6183700,2,90,1.0
6183750,2,60,1.17
6183800,2,45,1.49
6183850,2,90,1.11
6183900,2,30,1.24
6183950,4,60,1.18
6184000,2,30,1.37
6184050,2,45,1.29
6184100,2,30,1.41
6184150,2,60,1.0
6184200,2,45,1.0
6184250,2,30,1.0
6184300,4,30,1.6
6184350,18,60,3.4
6184400,14,90,3.43
6184450,12,45,2.57
6184500,18,30,2.67
6184550,6,90,2.81
6184600,6,60,3.82
6184650,26,30,5.09
6184700,2,45,1.38
6184750,2,60,1.18
6184800,2,45,1.18
6184850,2,45,1.33
6184900,4,60,1.18
6184950,2,90,1.29
6185000,4,30,1.29
6185050,4,45,1.21
6185100,2,45,1.1
6185150,2,45,1.07
6185200,2,60,1.11
6185250,2,90,1.28
6185300,2,45,1.49
6185350,2,90,1.0
6185400,2,45,1.26
6185450,2,30,1.0
6185500,2,30,1.54
6185550,2,60,1.39
6185600,2,45,1.0
6185650,2,90,1.0
6185700,4,60,2.0
6185750,2,45,1.54
6185800,2,30,1.0
6185850,2,30,1.0
6185900,4,30,1.44
6186000,2,90,1.16
6186050,2,90,1.0
6186100,2,45,1.26
6186150,2,30,1.1
6186200,2,45,1.0
6186250,2,45,1.1
6186300,2,90,1.11
6186350,2,90,1.1
6186400,2,30,1.08
6186450,2,60,1.1
6186500,2,60,1.34
6186550,2,30,1.19
6186600,2,90,1.2
6186650,2,90,1.0
6186700,2,45,1.0
6186750,2,30,1.0
6186800,2,45,1.27
6186850,2,45,1.1
6186900,4,45,1.09
6186950,2,45,1.0
6187000,4,90,1.07
6187050,2,45,1.29
6187100,4,60,1.23
6187150,4,90,1.32
6187200,4,45,1.34
6187250,2,30,1.02
6187300,2,45,1.08
6187350,4,90,1.1
6187400,4,90,1.12
6187450,8,30,36.59
6187500,4,45,1.42
6187550,2,45,1.15
6187600,2,90,1.2
6187650,2,60,1.05
6187700,2,60,1.04
6187750,2,60,1.58
6187800,2,60,1.0
6187850,2,90,1.0
6187900,2,45,1.0
6187950,2,60,1.0
6188000,2,45,1.0
6188050,6,90,1.16
6188100,2,90,1.2
6188150,2,45,1.58
6188200,2,90,1.76
6188250,2,90,1.71
6188300,10,90,2.28
6188350,2,60,1.26
6188400,2,90,1.32
6188450,2,45,1.13
6188500,6,30,1.42
6188550,2,45,1.3
6188600,2,90,1.28
6188650,2,60,1.13
6188700,8,45,1.1
6188750,2,30,1.07
6188800,2,30,1.06
6188850,2,60,1.0
6188900,2,60,1.0
6188950,2,30,1.16
6189000,2,45,1.46
6189050,4,60,1.33
6189100,2,30,1.0
6189150,2,45,1.18
6189200,2,45,1.0
6189250,2,30,1.0
6189300,2,90,1.0
6189350,2,45,1.0
6189400,2,90,1.0
6189450,4,60,1.33
6189500,2,60,1.0
6189550,2,45,1.0
6189600,4,60,1.2
6189650,2,90,1.0
6189700,2,30,1.0
6189750,4,90,1.32
6189800,2,90,1.0
6189850,18,60,2.17
6189900,4,60,1.15
6189950,2,90,1.0
6190000,2,90,1.2
6190050,2,60,7.66
6190100,2,45,10.64
6190150,4,60,3.09
6190200,4,90,3.0
6190250,6,60,4.21
6190300,2,30,1.28
6190350,2,60,1.09
6190400,2,60,1.3
6190450,2,45,1.12
6190500,2,90,1.07
6190550,2,45,1.25
6190600,2,30,1.11
6190650,2,60,1.0
6190700,4,45,1.26
6190750,2,90,1.27
6190800,4,45,1.32
6190850,4,60,1.25
6190900,4,60,1.29
6190950,2,60,1.3
6191000,4,90,1.15
6191050,4,60,1.13
6191100,2,30,1.95
6191150,2,90,1.58
6191200,2,90,1.0
6191250,2,90,1.14
6191300,2,45,1.17
6191350,2,90,1.25
6191400,2,45,1.44
6191450,2,90,1.14
6191500,2,45,1.11
6191550,2,30,1.13
6191600,2,30,1.23
6191650,2,90,1.0
6191700,2,30,1.23
6191750,2,30,1.08
6191800,4,45,1.49
6191850,2,30,1.2
6191900,4,30,1.1
6191950,2,30,1.08
6192000,4,90,1.12
6192050,2,45,1.23
6192100,2,30,1.1
6192150,2,60,1.11
6192200,2,45,1.28
6192250,2,60,1.25
6192300,2,30,1.4
6192350,2,90,1.0
6192400,2,30,1.0
6192450,2,60,1.0
6192500,2,45,1.07
6192550,2,60,1.34
6192600,4,90,1.37
6192650,2,30,1.37
6192700,4,90,2.65
6192750,4,90,1.08
6192800,2,60,1.35
6192850,4,60,1.28
6192900,2,90,1.36
6192950,4,45,1.57
6193000,2,60,1.98
6193050,2,90,1.32
6193100,2,60,1.31
6193150,2,90,1.22
6193200,2,90,1.29
6193250,2,90,1.11
6193300,2,45,1.36
6193350,2,60,1.1
6193400,2,60,1.05
6193450,2,90,1.0
6193500,2,60,1.09
6193550,4,90,1.16
6193600,2,45,1.06
6193650,2,30,1.47
6193700,2,30,1.39
6193750,4,30,1.42
6193800,2,90,1.64
6193850,2,90,1.16
6193900,2,45,1.0
6193950,2,60,1.0
6194000,2,30,1.41
6194050,2,90,1.61
6194100,2,90,1.16
6194150,8,90,1.21
6194200,2,30,1.18
6194250,2,45,1.54
6194300,4,30,1.2
6194350,2,45,1.14
6194400,2,60,1.15
6194450,2,90,2.3
6194500,2,30,2.44
6194550,6,60,2.05
6194600,2,60,2.03
6194650,2,90,2.01
6194700,2,60,2.06
6194750,6,45,3.27
6194800,2,45,2.42
6194850,2,90,2.15
6194900,4,30,2.06
6194950,2,30,2.45
6195000,2,30,1.05
6195050,2,30,1.0
6195100,2,90,1.0
6195150,2,45,1.11
6195200,2,30,1.31
6195250,2,60,1.13
6195300,2,60,1.11
6195350,4,60,1.24
6195400,4,45,1.2
6195450,2,30,1.24
6195500,4,30,1.17
6195550,4,30,1.19
6195600,2,30,1.09
6195650,2,45,1.1
6195700,2,45,1.56
6195750,2,45,1.02
6195800,2,30,4.21
6195850,2,60,1.1
6195900,2,60,1.3
6195950,2,30,1.37
6196000,2,30,1.07
6196050,2,30,1.11
6196100,2,90,1.1
6196150,4,60,1.18
6196200,2,60,1.13
6196250,2,60,1.0
6196300,2,45,1.06
6196350,2,45,1.05
6196400,2,45,1.07
6196450,2,90,1.12
6196500,2,45,1.12
6196550,2,30,1.09
6196600,2,30,1.45
6196650,4,90,1.54
6196700,2,45,1.21
6196750,2,60,1.28
6196800,2,90,1.07
6196850,2,30,1.08
6196900,2,60,1.11
6196950,2,30,1.16
6197000,2,90,1.02
6197050,2,90,1.37
6197100,4,30,2.0
6197150,2,45,1.12
6197200,2,90,1.47
6197250,2,30,1.36
6197300,2,30,1.08
6197350,2,45,3.44
6197400,2,60,2.29
6197450,6,90,2.06
6197500,2,90,1.08
6197550,2,90,1.07
6197600,2,90,1.06
6197650,2,30,1.26
6197700,2,90,1.23
6197750,2,45,1.15
6197800,6,45,1.15
6197850,4,90,1.19
6197900,2,45,1.16
6197950,4,30,1.13
6198000,4,45,1.09
6198050,4,60,1.11
6198100,2,30,2.16
6198150,2,45,1.19
6198200,2,45,1.16
6198250,4,30,1.47
6198300,2,60,1.14
6198350,2,45,1.09
6198400,4,60,1.29
6198450,2,30,1.19
6198500,2,60,1.06
6198550,2,90,1.14
6198600,2,90,1.04
6198650,2,60,1.05
6198700,2,30,1.07
6198750,2,60,1.1
6198800,2,45,1.26
6198850,4,90,1.24
6198900,2,45,1.17
6198950,2,45,1.16
6199000,4,90,1.41
6199050,4,30,1.14
6199100,4,90,1.09
6199150,2,60,1.22
6199200,2,45,1.24
6199250,2,60,1.35
6199300,2,30,1.17
6199350,2,30,1.41
6199400,2,45,1.35
6199450,2,45,1.12
6199500,4,45,2.38
6199550,4,30,2.43
6199600,4,90,2.59
6199650,4,60,2.85
6199700,2,60,1.47
6199750,2,90,1.17
6199800,4,90,1.2
6199850,2,90,1.17
6199900,2,45,3.22
6199950,2,60,1.0
6200000,2,45,1.12
6200050,2,30,1.19
6200100,4,90,1.39
6200150,2,60,1.22
6200200,4,90,1.36
6200250,2,45,1.28
6200300,2,30,1.15
6200350,2,60,1.12
6200400,2,45,1.21
6200450,4,90,1.3
6200500,2,45,1.22
6200550,2,30,1.07
6200600,2,90,1.0
6200650,4,45,2.21
6200700,4,30,4.11
6200750,2,90,1.17
6200800,4,45,2.76
6200850,2,45,1.06
6200900,4,30,1.15
6200950,4,90,1.61
6201000,2,90,1.0
6201050,2,60,1.0
6201100,4,60,1.42
6201150,2,45,1.28
6201200,2,90,1.14
6201250,2,30,1.1
6201300,2,30,1.07
6201350,6,45,1.15
6201400,2,30,1.43
6201450,4,45,1.48
6201500,2,45,1.12
6201550,2,45,1.12
6201600,2,45,1.11
6201650,2,45,1.18
6201700,2,45,1.47
6201750,4,60,3.38
6201800,4,45,3.27
6201850,4,60,2.12
6201900,2,60,1.14
6201950,2,30,3.4
6202000,2,45,1.0
6202050,4,90,1.25
6202100,2,60,1.31
6202150,4,45,1.29
6202200,2,60,1.37
6202250,2,60,1.0
6202300,2,60,1.0
6202350,2,90,1.07
6202400,2,60,1.16
6202450,4,45,1.15
6202500,2,90,1.15
6202550,2,60,1.15
6202600,4,45,2.0
6202650,4,90,1.53
6202700,2,90,1.43
6202750,4,60,1.17
6202800,2,45,1.14
6202850,2,30,1.07
6202900,2,90,1.05
6202950,2,30,1.31
6203000,2,45,1.29
6203050,2,90,1.06
6203100,2,90,1.1
6203150,2,45,1.22
6203200,2,30,1.1
6203250,2,45,1.17
6203300,2,45,1.1
6203350,2,60,1.08
6203400,2,45,1.1
6203450,2,60,1.08
6203500,2,60,1.2
6203550,2,30,1.21
6203600,4,45,1.17
6203650,2,30,1.28
6203700,2,45,1.11
6203750,2,60,1.27
6203800,2,30,1.34
6203850,4,90,1.3
6203900,4,60,1.18
6203950,2,90,1.41
6204000,2,60,1.21
6204050,14,90,20.26
6204100,6,30,10.61
6204150,2,60,1.15
6204200,2,60,1.28
6204250,4,30,1.41
6204300,4,90,1.86
6204350,4,45,1.51
6204400,2,90,1.0
6204450,2,60,1.39
6204500,2,30,1.09
6204550,2,45,1.12
6204600,2,45,1.16
6204650,2,90,1.23
6204700,2,30,1.13
6204750,2,90,1.17
6204800,2,30,1.1
6204850,4,60,1.13
6204900,2,30,1.18
6204950,2,60,1.21
6205000,2,90,1.25
6205050,2,90,1.21
6205100,2,30,1.39
6205150,4,60,1.1
6205200,2,30,1.21
6205250,12,90,4.8
6205300,4,60,1.28
6205350,2,30,1.03
6205400,2,30,1.0
6205450,2,45,1.44
6205550,4,90,1.25
6205600,4,45,2.0
6205650,2,60,1.0
6205700,2,30,1.4
6205750,4,90,1.5
6205800,2,60,1.25
6205850,2,60,1.0
6205900,4,60,1.67
